Type,YEAR,UniqueID,Fate,COX_TIME,annual_prec_30year,CORE_AREA,Shrub_10M,ARTR_10M,Shrub_H_10M,ARTR_H_10M,VO,AnGrass_10M,PerGrass_10M,ResGrass_10M,FoodF_10M,NFoodF_10M,Bground_10M,Cactus_10M,BioCrust_10M,Rock_10M,Litter_10M,PerGrass_H_10M,ResGrass_H_10M,Shrub_5m,Artr_5m,Shrub_1m,Artr_1m,AnGrass_1M,PerGrass_1M,ResGrass_ 1M,FoodF_1M,NFoodF_1M,BGround_1M,Cactus_1M,BioCrust_1M,Rock_1M,Litter_1M,AnGrass_3M,PerGrass_3M,ResGrass_3M,FoodF_3M,NFoodF_3M,Bground_3M,Cactus_3M,BioCrust_3M,Rock_3M,Litter_3M,Gap_0.5M,Gap_1M,Gap_2M,Gap_3M,
Nest,2013,507,hatch,26,527.9000244,YES,51.6,51.6,47.86206897,47.86206897,58.75,4.022222222,15.26666667,12.99444444,4.7,0.677777778,31.43333333,0,8.305555556,12.2,47.60555556,50.44444444,33.66666667,62.5,62.5,78,78,6.63,19.25,12.65,4.84,0.61,21.04,0,14.34,1.33,52.55,0.7625,10.2875,13.425,4.525,0.7625,44.425,0,0.7625,25.7875,41.425,7,2,0,0,
Nest,2013,508,fail,16,353.8099976,NO,27.7,27.35,39.63636364,42.7,33.75,0.338888889,11.71111111,11.6,3.805555556,0,14.71666667,0,0.677777778,13.04444444,51.99444444,29.625,24.375,32.4,32.4,53.75,53.75,0,19.25,16.65,3.12,0,4.95,0,0.61,7.35,67.55,0.7625,2.2875,5.2875,4.6625,0,26.925,0,0.7625,20.1625,32.55,5,4,2,1,
Nest,2013,509,fail,12,477.1600037,NO,20.8,11.15,28.14285714,34.75,20,0.061111111,7.705555556,5.477777778,4.022222222,5.355555556,13.65555556,0,2.35,13.19444444,52.27222222,26.25,14.5,28.2,18.6,52,45.75,0,7.24,6.63,4.23,6.02,15.74,0,3.62,15.63,48.55,0.1375,8.2875,4.0375,3.7625,4.525,11.05,0,0.7625,10.15,56.925,7,4,2,2,
Nest,2013,510,hatch,21,523.7999878,NO,20.35,20.35,37.72727273,37.72727273,31.25,1.672222222,9.55,5.161111111,2.688888889,0.461111111,26.88333333,0,4.972222222,12.87777778,51.21666667,48.66666667,28.22222222,29.1,29.1,53.75,53.75,3.01,12.35,4.95,1.22,0.72,10.25,0,7.73,18.95,65.65,0,6.05,5.425,4.525,0.1375,47.675,0,1.525,5.2875,33.175,7,5,2,1,
Nest,2013,511,fail,1,350.3500061,NO,33.95,33.95,42.5,42.5,38.75,0,11.6,5.877777778,5.755555556,0.461111111,31.77222222,0,2.35,10.81666667,18.82777778,31,19,51.2,51.2,56.5,56.5,0,16.54,6.74,10.25,0.83,31.15,0,0.61,6.24,24.25,0,5.425,4.8,0.1375,0,32.55,0,4.525,16.5375,12.05,6,3,0,0,
Nest,2013,512,hatch,27,350.3500061,NO,21.9,21.9,46,46,37.5,0.51875,11.66875,9.98125,2.411111111,1.672222222,46.82777778,0,6.575,13.93333333,18.82777778,31,15.55555556,36.6,36.6,65,65,0.72,12.65,7.85,3.01,3.01,41.15,0,3.01,6.85,24.25,0.183333333,10.03333333,13.53333333,1.6625,0,53.925,0,12.51666667,22.7875,12.05,5,0,0,0,
Nest,2013,513,fail,5,285.3699951,YES,17.1,17.1,45.5,45.5,30,0,8.105555556,4.544444444,6.183333333,1.077777778,18.15,0,15.57222222,4.205555556,46.55,25,14.125,18.1,18.1,45.25,45.25,0,9.75,6.74,0.61,0.72,23.64,0,25.02,3.73,43.75,0,6.05,1.8,13.15,1.525,11.2875,0,3.7625,4.8,50.05,2,2,2,1,
Nest,2013,514,fail,19,294.6600037,YES,14.1,14.1,39.57142857,39.57142857,33.75,7.288888889,6.922222222,4.144444444,4.083333333,4.172222222,25.71111111,1.672222222,0.4,13.59444444,34.66111111,44.33333333,20.22222222,24.6,24.6,50.5,50.5,13.12,11.13,3.73,3.62,0,35.04,3.01,0.61,23.03,26.85,0,1.6625,4.6625,4.6625,9.3875,14.05,0,0.1375,1.8,44.425,2,1,1,0,
Nest,2013,515,fail,21,523.7999878,NO,49.5,49.5,52.28571429,52.28571429,48.75,0.677777778,30.99444444,10.43333333,6.094444444,0.677777778,17.08888889,0,2.411111111,5.527777778,61.49444444,54.55555556,21.55555556,52,52,72,72,0.61,24.75,12.65,4.84,0.61,22.64,0,4.34,8.73,62.55,0.7625,38.8,7.6625,7.6625,0.7625,10.15,0,0,1.525,60.175,5,3,1,0,
Nest,2013,516,fail,17,356.1799927,NO,21.5,21.25,49.07692308,49.07692308,47.5,10.12777778,16.2,4.083333333,6.494444444,4.144444444,18.55,0,6.183333333,16.81666667,26.43888889,53.33333333,14.5,29.2,29.2,44.5,44.5,17.51,21.04,6.13,4.95,1.33,19.25,0,10.52,13.53,43.25,0.9,10.15,1.525,8.425,7.6625,17.675,0,0.7625,20.925,5.425,8,6,3,0,
Nest,2013,517,hatch,13,270.5899963,NO,23.55,9.05,38.92307692,33.16666667,47.5,0,14.1,11.6,2.35,1.672222222,33.49444444,0,2.35,0.461111111,49.49444444,23.88888889,16.11111111,28.9,3.3,57.75,5,0,11.24,13.64,3.01,0,29.25,0,3.62,0.22,39.05,0,17.675,9.05,1.525,3.7625,38.8,0,0.7625,0.7625,62.55,5,4,1,1,
Nest,2013,518,fail,5,548.1900024,NO,27.7,27.7,52.54545455,52.54545455,47.5,1.672222222,23.27222222,10.32222222,18.04444444,4.911111111,24.82222222,0,0.677777778,4.972222222,34.66111111,34.77777778,20.22222222,40.1,40.1,50.75,50.75,0,23.75,15.24,14.25,8.12,19.55,0,1.22,8.23,43.25,3.7625,22.675,4.175,22.7875,0.9,31.4125,0,0,0.9,23.925,6,5,1,0,
Nest,2013,519,hatch,26,548.1900024,NO,62.95,62.95,80.05555556,80.05555556,68.75,6.183333333,12.99444444,8.716666667,4.361111111,3.405555556,13.99444444,0,6.244444444,10.20555556,42.60555556,53.88888889,30.22222222,70.7,70.7,83.25,83.25,7.51,14.25,7.35,4.84,3.01,13.95,0,0.61,4.23,45.65,4.525,11.425,10.425,3.7625,3.9,14.05,0,13.2875,17.675,38.8,6,1,0,0,
Nest,2013,520,hatch,23,533.8400269,NO,69.3,69.3,62.72413793,62.72413793,66.25,5.844444444,19.88333333,7.488888889,12.64444444,5.25,20.98888889,0,9.866666667,8.872222222,41.16111111,54.88888889,24.77777778,63.9,63.9,80.5,80.5,10.52,14.75,6.24,9.03,8.84,26.65,0,11.13,7.24,48.05,0,26.3,9.05,17.1625,0.7625,13.9125,0,8.2875,10.9125,32.55,4,1,0,0,
Nest,2013,521,fail,15,379.0100098,YES,20.95,18.75,22.23529412,30.6,12.5,0,23.99444444,5.161111111,2.411111111,2.411111111,14.43888889,0,4.511111111,7.2,32.93888889,31.5,21.125,24.9,24.9,48.75,48.75,0,31.15,6.85,3.62,3.62,16.35,0,0,11.13,33.25,0,15.05,3.05,0.9,0.9,12.05,0,10.15,2.2875,32.55,7,4,0,0,
Nest,2013,522,fail,5,356.1799927,NO,64.75,64.75,59.5,59.5,60,4.294444444,10.54444444,8.933333333,2.011111111,3.744444444,29.32222222,0,4.022222222,6.433333333,46.55,50.5,18.875,67.3,67.3,85.25,85.25,7.62,7.24,2.44,3.62,6.74,24.75,0,6.63,4.95,50.15,0.1375,14.675,17.05,0,0,35.0375,0,0.7625,8.2875,42.05,5,1,0,0,
Nest,2013,523,hatch,16,230.0899963,NO,14.35,12.2,27.8,35,25,0.338888889,14.16111111,3.55,2.072222222,2.35,34.32222222,0,9.022222222,2.533333333,27.66111111,23.33333333,14,20,17.6,35.75,35.75,0,21.65,4.95,3.62,3.62,28.64,0,15.52,1.33,21.15,0.7625,4.8,1.8,0.1375,0.7625,41.425,0,0.9,4.0375,35.8,6,4,2,1,
Nest,2013,524,fail,16,398.9899902,YES,26.05,23.2,33.58333333,35,35,0.061111111,6.711111111,5.1,8.961111111,3.683333333,22.04375,0,6.64375,9.2875,57.55,27.14285714,13.42857143,26,26,47.75,47.75,0,4.84,4.84,15.52,3.62,35.8,0,13.15,14.05,43.55,0.1375,9.05,5.425,0.7625,3.7625,8.2875,0,0.1375,4.525,75.05,4,1,1,0,
Nest,2013,525,fail,16,291.4899902,NO,35,34.8,48.07142857,50.07692308,40,0,12.64444444,1.6,5.477777778,0.122222222,22.21666667,0,0.061111111,1.138888889,55.16111111,32.375,20.625,35.6,35.6,49.5,49.5,0,4.23,1.55,0.83,0.22,6.35,0,0,1.44,82.55,0,23.1625,1.6625,11.2875,0,42.05,0,0.1375,0.7625,20.925,7,3,1,0,
Nest,2013,526,fail,14,388.7099915,YES,17,16.55,26.73333333,26.92857143,20,4.85,19.54444444,8.872222222,2.811111111,0.461111111,21.16111111,0,1.794444444,6.922222222,58.71666667,31.22222222,20.77777778,25,24.1,30.25,30.25,8.12,21.04,13.53,3.62,0.11,2.55,0,3.12,0.72,82.55,0.7625,17.675,3.05,1.8,0.9,44.425,0,0.1375,14.675,28.925,10,4,2,1,
Nest,2013,527,fail,11,314.3999939,YES,37.8,37.25,36.125,37.26086957,37.5,2.011111111,25.21111111,4.822222222,18.63888889,4.172222222,34.66111111,0,3.683333333,6.305555556,27.66111111,45.5,12.25,43.1,43.1,51.25,51.25,3.01,38.14,6.74,18.53,7.51,33.75,0,6.63,10.63,31.65,0.7625,9.05,2.425,18.775,0,35.8,0,0,0.9,22.675,7,5,0,0,
Nest,2013,528,hatch,7,284.7900085,NO,27.25,27.25,54.33333333,54.33333333,25,0,14.55,5.877777778,5.25,4.022222222,30.99444444,1.672222222,0,7.855555556,27.93888889,25,10.66666667,41.2,41.2,61.25,61.25,0,11.85,3.84,1.33,0.61,36.65,0,0,3.62,33.75,0,17.925,8.425,10.15,8.2875,23.925,3.7625,0,13.15,20.675,3,1,0,0,
