"","CountYear","Accipiter sp.","African Collared-Dove","American Black Duck x Mallard (hybrid)","American Coot","American Crow","American Dipper","American Goldfinch","American Kestrel","American Pipit","American Robin","American Three-toed Woodpecker","American Tree Sparrow","American Wigeon","Aythya sp.","Baird's Sparrow","Bald Eagle","Barn Owl","Barn Owl (American)","Barrow's Goldeneye","Belted Kingfisher","Black-and-white Warbler","Black-billed Magpie","Black-capped Chickadee","Black-crowned Night-Heron","Black Rosy-Finch","blackbird sp.","Blue-winged Teal","Blue Jay","Bohemian Waxwing","Bohemian/Cedar Waxwing","Bonaparte's Gull","Boreal Owl","Brant","Brant (Black)","Brewer's Blackbird","Brown-capped Rosy-Finch","Brown-headed Cowbird","Brown Creeper","Brown Thrasher","Bufflehead","Bushtit","Buteo sp.","Cackling Goose","Cackling/Canada Goose","California Gull","California Quail","Canada Goose","Canvasback","Canyon Wren","Cassin's Finch","Cedar Waxwing","chickadee sp.","Chukar","Cinnamon Teal","Clark's Nutcracker","Common Goldeneye","Common Grackle","Common Grackle (Purple)","Common Loon","Common Merganser","Common Raven","Common Redpoll","Common Yellowthroat","Common/Barrow's Goldeneye","Cooper's Hawk","crow sp.","Dark-eyed Junco","Dark-eyed Junco (cismontanus)","Dark-eyed Junco (Gray-headed)","Dark-eyed Junco (Oregon)","Dark-eyed Junco (Pink-sided)","Dark-eyed Junco (Slate-colored)","Dark-eyed Junco (Slate-colored/Cassiar)","Dark-eyed Junco (White-winged)","Domestic goose sp. (Domestic type) x Canada Goose (hybrid)","Double-crested Cormorant","Downy Woodpecker","duck sp.","Dusky/Sooty Grouse","eagle sp.","Eastern Bluebird","Eastern Screech-Owl","Eurasian Collared-Dove","Eurasian Wigeon","European Starling","Evening Grosbeak","falcon sp.","Ferruginous Hawk","Field Sparrow","Fox Sparrow","Gadwall","Golden-crowned Kinglet","Golden-crowned Sparrow","Golden Eagle","Gray-crowned Rosy-Finch","Gray Catbird","Gray Jay","Gray Partridge","Great-tailed Grackle","Great Blue Heron (Blue form)","Great Horned Owl","Greater Sage-Grouse","Greater Scaup","Greater White-fronted Goose","Greater White-fronted x Canada Goose (hybrid)","Greater/Lesser Scaup","Green-tailed Towhee","Green-winged Teal","Green-winged Teal (American)","gull sp.","Hairy Woodpecker","Harris's Hawk","Harris's Sparrow","Hermit Thrush","Herring Gull","Hooded Merganser","Horned Grebe","Horned Lark","House Finch","House Sparrow","House Wren","jay sp.","Killdeer","Lapland Longspur","Lazuli Bunting","Lesser Black-backed Gull","Lesser Goldfinch","Lesser Scaup","Lewis's Woodpecker","Lincoln's Sparrow","Loggerhead Shrike","Long-eared Owl","Long-tailed Duck","Mallard","Marsh Wren","Merlin","Mew Gull","Mountain Bluebird","Mountain Chickadee","Mourning Dove","Northern Bobwhite","Northern Flicker","Northern Flicker (intergrade)","Northern Flicker (Red-shafted)","Northern Flicker (Yellow-shafted)","Northern Goshawk","Northern Goshawk (American)","Northern Harrier","Northern Mockingbird","Northern Pintail","Northern Pygmy-Owl","Northern Saw-whet Owl","Northern Shoveler","Northern Shrike","Northern Waterthrush","Pacific/Winter Wren","Palm Warbler (Western)","Peregrine Falcon","Pied-billed Grebe","Pine Grosbeak","Pine Siskin","Pine Warbler","Pinyon Jay","Prairie Falcon","Purple Finch","Pygmy Nuthatch","Red-bellied Woodpecker","Red-breasted Merganser","Red-breasted Nuthatch","Red-headed Woodpecker","Red-lored Parrot","Red-naped Sapsucker","Red-necked Grebe","Red-tailed Hawk","Red-tailed Hawk (Harlan's)","Red-winged Blackbird","Red Crossbill","Redhead","Ring-billed Gull","Ring-necked Duck","Ring-necked Pheasant","Rock Pigeon (Feral Pigeon)","Rock Wren","Rose-breasted Grosbeak","Ross's Goose","rosy-finch sp.","Rough-legged Hawk","Ruby-crowned Kinglet","Ruddy Duck","Rusty Blackbird","Sage Thrasher","Sandhill Crane","sapsucker sp.","Savannah Sparrow","Scaled Quail","Scarlet Tanager","screech-owl sp.","Sharp-shinned Hawk","Short-eared Owl","shrike sp.","Snow Bunting","Snow Goose","Snow x Canada Goose (hybrid)","Song Sparrow","Song Sparrow (montana/merrilli)","Sora","sparrow sp.","Spotted Sandpiper","Spotted Towhee","Spotted/Eastern Towhee (Rufous-sided Towhee)","Steller's Jay","Swainson's Hawk","Swamp Sparrow","teal sp.","Thayer's Gull","Townsend's Solitaire","Trumpeter Swan","Tundra Swan","Turkey Vulture","Varied Thrush","Vesper Sparrow","Virginia Rail","Western Bluebird","Western Grebe","Western Meadowlark","Western Scrub-Jay","Western Scrub-Jay (Woodhouse's)","White-breasted Nuthatch","White-breasted Nuthatch (Interior West)","White-crowned Sparrow","White-crowned Sparrow (Gambel's)","White-throated Sparrow","White-winged Crossbill","White-winged Dove","White-winged Scoter","Wild Turkey","Wilson's Snipe","Wilson's/Common Snipe","Winter Wren","Wood Duck","wren sp.","Yellow-bellied Sapsucker","Yellow-headed Blackbird","Yellow-rumped Warbler","Yellow-rumped Warbler (Audubon's)","Yellow-rumped Warbler (Myrtle)","Yellow-throated Warbler"
"41",1985,"1",NA,NA,NA,"104","9","61","27",NA,"23",NA,"115","49",NA,NA,"12",NA,NA,NA,"11",NA,"338","136","1",NA,NA,NA,"42","110",NA,NA,NA,NA,NA,NA,NA,NA,"8",NA,NA,NA,"2",NA,NA,NA,NA,"2973",NA,NA,"6","8",NA,NA,NA,NA,"22","1",NA,NA,"12","7",NA,NA,NA,NA,NA,"151",NA,"9","54",NA,"22",NA,NA,NA,NA,"24",NA,NA,NA,NA,NA,NA,NA,"3362","203",NA,"2",NA,NA,"2",NA,NA,"7","125",NA,NA,NA,NA,"1","7",NA,NA,"1",NA,NA,NA,"80",NA,NA,"14",NA,"1",NA,"3",NA,NA,"5","689","987",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1223",NA,"2",NA,NA,"67","9",NA,NA,NA,"119",NA,"2",NA,"1","1","5",NA,NA,"25","2",NA,NA,NA,NA,NA,NA,"378",NA,NA,"2",NA,"15",NA,NA,"4",NA,NA,NA,NA,"8",NA,"552",NA,NA,NA,NA,"22","563",NA,NA,NA,NA,"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"20",NA,NA,NA,NA,NA,NA,"31",NA,NA,NA,NA,"13",NA,NA,NA,NA,NA,NA,NA,NA,"20",NA,NA,"11",NA,"11",NA,NA,NA,NA,NA,"20",NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",1986,NA,NA,NA,"8","159","12","101","37",NA,"162",NA,"166","127",NA,NA,"6",NA,NA,NA,"21",NA,"514","122",NA,NA,NA,NA,"61","27",NA,NA,NA,NA,NA,"1",NA,NA,"13",NA,NA,NA,"3",NA,NA,NA,NA,"12295",NA,NA,"2",NA,NA,NA,NA,"20","29","1",NA,NA,"7","3",NA,NA,NA,NA,NA,"122",NA,"23","91",NA,"20",NA,NA,NA,NA,"25",NA,NA,NA,NA,NA,NA,NA,"2973","230",NA,"2",NA,NA,"16","2",NA,"1",NA,NA,NA,NA,NA,"5","10",NA,NA,NA,NA,NA,NA,NA,"14",NA,"5",NA,"4",NA,"9",NA,NA,NA,"369","638",NA,"1","9",NA,NA,NA,NA,"9",NA,NA,NA,NA,NA,"1266",NA,NA,NA,NA,"36",NA,NA,NA,NA,"102",NA,"2",NA,"2",NA,"3","1",NA,"30","3",NA,NA,NA,NA,NA,NA,"810",NA,NA,"5",NA,"10",NA,NA,"58",NA,NA,NA,NA,"10",NA,"269","2","3",NA,"1","8","1056",NA,NA,NA,NA,"18","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"33",NA,NA,NA,NA,NA,NA,"49",NA,NA,NA,NA,"41",NA,NA,NA,NA,NA,NA,NA,NA,"49",NA,NA,"6",NA,"13",NA,NA,NA,NA,NA,NA,NA,"10",NA,"3",NA,NA,"1",NA,NA,NA,NA
"43",1987,NA,NA,NA,"5","166","10","65","36",NA,"274",NA,"153","116",NA,NA,"23",NA,NA,NA,"21",NA,"450","127",NA,NA,NA,NA,"61","4220",NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,NA,NA,"1",NA,NA,NA,NA,"6760",NA,NA,"12","43",NA,NA,NA,NA,"13","1",NA,NA,"1","35",NA,NA,NA,NA,NA,"238",NA,"9","46",NA,"19",NA,"10",NA,NA,"24",NA,NA,NA,"6","1",NA,NA,"3200","217",NA,"1",NA,NA,"14","11",NA,"10","40",NA,NA,NA,NA,"5","1",NA,NA,"2",NA,NA,NA,NA,"26",NA,"8",NA,"1",NA,"1",NA,NA,"96","423","1379",NA,"3","5",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1075","1",NA,NA,NA,"40","7",NA,NA,NA,"130",NA,"1",NA,"6",NA,NA,"1",NA,"61","2",NA,NA,NA,NA,NA,NA,"525",NA,NA,"2",NA,"1",NA,NA,"15",NA,NA,NA,NA,"14",NA,"204","3",NA,"6","2","15","916",NA,NA,NA,NA,"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"2",NA,"33",NA,"1",NA,NA,"2",NA,"49",NA,"1",NA,NA,"15",NA,NA,NA,NA,NA,"1",NA,"1","17",NA,NA,"6",NA,"12",NA,NA,NA,NA,NA,NA,NA,"15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",1988,"1",NA,NA,NA,"127","16","190","40",NA,"967",NA,"135","127",NA,NA,"11",NA,NA,NA,"33",NA,"383","110",NA,NA,NA,NA,"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,"5418","1","2","38","12",NA,NA,NA,NA,"20","1",NA,NA,"4","7",NA,NA,NA,"2",NA,"256",NA,"6","140",NA,"38",NA,"5",NA,NA,"19",NA,NA,NA,"2","2",NA,NA,"3402","142","1","3",NA,NA,"12","26",NA,"6",NA,NA,NA,NA,NA,"6","6",NA,NA,"4",NA,NA,NA,NA,"59",NA,"5",NA,"2","1","7",NA,NA,"60","627","1740",NA,"2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1596",NA,"1",NA,NA,"30","6",NA,NA,NA,"115",NA,"1",NA,"10",NA,"8",NA,NA,"110","5",NA,NA,NA,NA,NA,NA,"94",NA,NA,"1",NA,"106",NA,NA,"3",NA,NA,NA,NA,"10",NA,"172",NA,NA,"5","2","12","1471",NA,NA,NA,"10","15",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,"34",NA,NA,NA,NA,"1",NA,"24",NA,NA,NA,NA,"26",NA,NA,NA,NA,NA,"1","1",NA,"43",NA,NA,"6",NA,"80",NA,NA,NA,NA,NA,"1",NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",1989,NA,NA,NA,NA,"352","12","48","23",NA,"1232",NA,"249","35",NA,NA,"16",NA,NA,NA,"13",NA,"340","208",NA,NA,NA,NA,"103","122",NA,NA,NA,NA,NA,NA,NA,NA,"24",NA,NA,NA,NA,NA,NA,NA,NA,"16433",NA,"3","54","16",NA,NA,NA,NA,"12","2",NA,NA,"19","6","1",NA,NA,"1",NA,"177",NA,"4","121",NA,"4",NA,NA,NA,NA,"24",NA,NA,NA,NA,"4",NA,NA,"2196","253",NA,"2",NA,NA,"18","7",NA,"10",NA,NA,NA,NA,"1","9","4",NA,NA,"1",NA,NA,"1",NA,"94","1","cw",NA,"3",NA,"2",NA,"1","528","416","672",NA,"7","8",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"930",NA,"cw",NA,NA,"88","2",NA,NA,NA,"108","1","1",NA,"7",NA,NA,NA,NA,"61","9",NA,NA,NA,NA,NA,NA,"318",NA,NA,"1",NA,"10",NA,NA,"25",NA,NA,NA,NA,"11",NA,"294",NA,NA,NA,NA,"13","978",NA,NA,NA,"8","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"45",NA,NA,NA,NA,"1",NA,"29",NA,"1",NA,NA,"12",NA,NA,NA,NA,NA,"2",NA,NA,"38",NA,NA,"4",NA,"168",NA,"1",NA,NA,NA,NA,NA,"13",NA,"1",NA,"cw",NA,NA,NA,NA,NA
"46",1990,"1",NA,NA,NA,"148","7","147","19",NA,"662",NA,"174","39",NA,NA,"6",NA,NA,NA,"13",NA,"272","120",NA,NA,NA,NA,"55","414",NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,"8308",NA,"3","7","8",NA,NA,NA,NA,"8","cw",NA,NA,"12","20",NA,NA,NA,NA,NA,"236",NA,NA,NA,NA,NA,NA,NA,NA,NA,"8",NA,NA,NA,NA,"2",NA,NA,"1400","28",NA,"3",NA,NA,"13",NA,NA,"3","45",NA,NA,NA,NA,"11","3",NA,NA,NA,NA,NA,NA,NA,"34",NA,"3",NA,"cw",NA,NA,NA,NA,"995","356","839",NA,NA,"7","2",NA,NA,NA,NA,"1","1",NA,NA,NA,"543",NA,"4",NA,NA,"8","3",NA,NA,NA,"101","1",NA,NA,"13",NA,NA,NA,NA,"30","2",NA,NA,NA,NA,NA,NA,"22",NA,"84","2",NA,"4",NA,NA,"4",NA,NA,NA,NA,"14",NA,"359",NA,NA,"cw",NA,"25","341",NA,NA,NA,NA,"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,"2",NA,"48",NA,NA,NA,NA,NA,NA,"40",NA,NA,NA,NA,"13",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"30",NA,"cw",NA,NA,NA,NA,NA,"13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",1991,NA,NA,NA,NA,"173","16","108","49",NA,"332",NA,"366","108",NA,NA,"12",NA,NA,NA,"20",NA,"322","171",NA,NA,NA,NA,"89","cw",NA,NA,NA,NA,NA,NA,NA,NA,"22",NA,"2",NA,"1",NA,NA,NA,NA,"7739",NA,"4","3","60",NA,NA,NA,NA,"39",NA,NA,"2","25","14",NA,NA,NA,"1",NA,"313",NA,NA,NA,NA,NA,NA,NA,NA,NA,"31",NA,NA,NA,NA,"1",NA,NA,"3218","11",NA,"1",NA,NA,"29","19",NA,"2",NA,NA,NA,NA,NA,"4","3",NA,NA,NA,NA,NA,NA,NA,"65","2","1",NA,"3",NA,"1",NA,NA,"123","550","913",NA,NA,NA,NA,NA,NA,NA,"5","2",NA,NA,"1",NA,"985",NA,NA,NA,NA,"59",NA,NA,NA,NA,"192","2","1",NA,"9","1",NA,NA,NA,"16","4",NA,NA,NA,NA,NA,NA,"57",NA,NA,"3",NA,"15",NA,NA,"23",NA,NA,NA,NA,"10",NA,"1680","4","5","1",NA,"17","713","1",NA,NA,NA,"3",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"2",NA,"28",NA,NA,NA,NA,NA,NA,"20",NA,"1",NA,NA,"19",NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,"9",NA,"12",NA,NA,NA,NA,NA,NA,NA,"24",NA,"1",NA,NA,NA,NA,NA,NA,NA
"48",1992,"1",NA,NA,"1","98","21","47","33",NA,"146",NA,"189","94",NA,NA,"16",NA,NA,NA,"30",NA,"298","204",NA,NA,NA,NA,"65",NA,NA,NA,NA,NA,NA,NA,NA,NA,"14",NA,NA,NA,"4",NA,NA,NA,NA,"7083",NA,"6","4","22",NA,NA,NA,"4","56","cw",NA,NA,"5","18",NA,NA,NA,"cw",NA,"372",NA,NA,NA,NA,NA,NA,NA,NA,NA,"23",NA,NA,NA,NA,"3",NA,NA,"2238","5",NA,"3",NA,NA,"21","7",NA,"14",NA,NA,NA,NA,NA,"13","6",NA,NA,NA,NA,NA,NA,NA,"92","1","9",NA,"4",NA,"1",NA,"4","320","377","993",NA,"1","7",NA,NA,NA,NA,"1","2",NA,NA,NA,NA,"1674","1","1",NA,NA,"97","cw",NA,"169",NA,NA,NA,"2",NA,"5",NA,"2",NA,NA,"86","3",NA,NA,NA,NA,"1",NA,"170",NA,NA,"4",NA,"29","1",NA,"40",NA,NA,NA,NA,"24",NA,"316",NA,NA,NA,"1","12","546","1",NA,NA,"2","20","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,"63",NA,NA,NA,NA,"2",NA,"55",NA,NA,NA,NA,"34",NA,NA,NA,NA,NA,"1",NA,"5","22",NA,NA,"20",NA,"70",NA,"cw",NA,NA,NA,"5",NA,"17",NA,"1",NA,"cw","1",NA,"1",NA,NA
"49",1993,NA,NA,NA,NA,"1111","15","168","30",NA,"604",NA,"307","99",NA,NA,"19",NA,NA,NA,"29",NA,"427","266",NA,NA,NA,NA,"145","5",NA,NA,NA,NA,NA,NA,NA,"2","6",NA,NA,NA,"2",NA,NA,NA,NA,"13501",NA,"12","3","5",NA,NA,NA,"10","79","4",NA,"1","7","10",NA,NA,NA,NA,NA,"488",NA,NA,NA,NA,NA,NA,NA,NA,NA,"21",NA,NA,NA,NA,"1",NA,NA,"8478","25",NA,"3",NA,NA,"14","4",NA,"5","18",NA,NA,NA,NA,"18","7",NA,NA,NA,NA,NA,NA,NA,"60","1","7",NA,NA,NA,"4",NA,NA,"324","684","1160",NA,"1","8",NA,NA,NA,NA,"7","1",NA,NA,"2",NA,"1793","1","1",NA,NA,"55","2",NA,"237",NA,NA,NA,"cw",NA,"9",NA,NA,NA,NA,"81","5",NA,NA,NA,NA,"1",NA,"233",NA,NA,"3",NA,"36",NA,NA,"33",NA,NA,NA,NA,"19",NA,"385","14",NA,"5","1","8","821","cw",NA,NA,NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","2",NA,NA,NA,NA,"76",NA,NA,NA,NA,"2",NA,"68",NA,"1",NA,NA,"37",NA,NA,NA,NA,NA,"3","cw","1","11",NA,NA,"21",NA,"55",NA,NA,NA,NA,NA,"cw",NA,"12",NA,NA,NA,"cw","cw",NA,"2",NA,NA
"50",1994,NA,NA,NA,"17","419","8","96","47",NA,"562",NA,"246","108",NA,NA,"36",NA,NA,NA,"24",NA,"332","217",NA,NA,NA,NA,"129","cw",NA,NA,NA,NA,NA,"12",NA,"1","9","1","4",NA,NA,NA,NA,NA,NA,"15123",NA,"11","9","cw",NA,NA,NA,NA,"92","2",NA,NA,"9","6",NA,NA,NA,"2",NA,"260",NA,NA,NA,NA,NA,NA,NA,NA,NA,"25",NA,NA,NA,NA,"3",NA,"1","4283","49",NA,"5",NA,"1","7","15",NA,"12",NA,"1",NA,NA,NA,"32","4",NA,NA,NA,NA,NA,NA,NA,"16",NA,"3","1","1",NA,"3",NA,"2","109","546","824",NA,"3","5",NA,NA,NA,NA,"3",NA,NA,NA,"2",NA,"1024","1",NA,NA,NA,"6","2",NA,NA,NA,"192",NA,NA,NA,"23","1",NA,NA,NA,"64","2",NA,NA,NA,NA,NA,NA,"126",NA,NA,"3",NA,"1",NA,NA,"12",NA,NA,NA,NA,"24",NA,"2576",NA,"1","30","52","2","1195",NA,NA,NA,NA,"6","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,"46",NA,NA,NA,NA,NA,NA,"18",NA,NA,NA,NA,"28",NA,NA,"1",NA,NA,"4",NA,"2","3",NA,NA,"2",NA,"11",NA,"1",NA,NA,NA,NA,NA,"4",NA,"8",NA,NA,NA,NA,NA,"1",NA
"51",1995,"1",NA,"1","509","1137","8","144","49",NA,"582",NA,"444","191",NA,NA,"45",NA,NA,NA,"45",NA,"414","232",NA,NA,NA,NA,"158",NA,NA,NA,NA,NA,NA,"27",NA,NA,"20",NA,"10",NA,"1",NA,NA,"1",NA,"12125","21","4",NA,"25",NA,NA,NA,NA,"162",NA,NA,"1","279","5",NA,NA,"1","2",NA,"597",NA,NA,NA,NA,NA,NA,NA,NA,NA,"30","40",NA,NA,"1","1",NA,"1","3317","37",NA,"6",NA,NA,"95","7",NA,"5",NA,"1",NA,NA,NA,"35","6",NA,"1",NA,NA,NA,NA,NA,"169","3","9",NA,"3",NA,"4","3",NA,"15","702","1061",NA,"7","1",NA,NA,NA,NA,NA,"1",NA,NA,"3","cw","1784","cw","3",NA,NA,"75","cw",NA,NA,NA,"244","1","2",NA,"26",NA,NA,"1",NA,"129","4",NA,NA,NA,"1","5","1","352",NA,NA,"4",NA,"24",NA,NA,"44",NA,NA,NA,NA,"25",NA,"1431",NA,"11","201","4","2","869","cw",NA,NA,NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,"314",NA,NA,NA,NA,"2",NA,"57",NA,NA,NA,NA,"47",NA,NA,NA,"1",NA,"4",NA,"2","27",NA,NA,"23",NA,"21",NA,NA,NA,NA,NA,NA,NA,"13",NA,"7",NA,NA,NA,NA,NA,NA,NA
"52",1996,NA,NA,NA,"10","1266","17","114","62",NA,"1251",NA,"174","442",NA,NA,"30",NA,NA,NA,"25",NA,"460","224",NA,NA,NA,NA,"143","40",NA,NA,NA,NA,NA,NA,NA,NA,"16",NA,"5",NA,"1",NA,NA,NA,NA,"15501",NA,"1","157","222",NA,NA,NA,"6","57","1",NA,"1","55","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38",NA,NA,"1",NA,NA,NA,"1","4795","330","1","5",NA,NA,"16",NA,NA,"11",NA,NA,NA,NA,NA,"22","7",NA,NA,NA,NA,NA,"1",NA,"81","12","4",NA,"9",NA,"3",NA,NA,"55","647","1278",NA,NA,"6",NA,NA,NA,NA,"2","3",NA,NA,"1",NA,"1626","1","1",NA,NA,"113","28",NA,NA,"1","210","1","3",NA,"20",NA,NA,NA,NA,"257","1",NA,NA,NA,"1","1","4","130",NA,"130","4","2","22",NA,NA,"34",NA,NA,NA,NA,"21",NA,"1396","42",NA,"10","30","5","730",NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,"60",NA,NA,NA,NA,"2",NA,"70",NA,NA,NA,NA,"71",NA,NA,NA,NA,NA,"3",NA,"1","32","11",NA,"22",NA,"50",NA,"2",NA,NA,NA,NA,NA,"8",NA,"4",NA,NA,NA,NA,NA,NA,NA
"53",1997,"1",NA,NA,"45","1346","14","267","48","cw","289",NA,"304","404",NA,NA,"25",NA,NA,NA,"49",NA,"468","288",NA,NA,NA,NA,"191",NA,NA,NA,NA,NA,NA,NA,NA,NA,"13",NA,"6",NA,"1",NA,NA,NA,NA,"13678",NA,"1","1","20",NA,NA,NA,NA,"135","1",NA,"1","112","3",NA,"cw",NA,NA,NA,"156",NA,"17","100",NA,"32",NA,"2",NA,NA,"28",NA,NA,NA,NA,"3",NA,"1","5200",NA,NA,"9",NA,NA,"35","2",NA,"4",NA,NA,NA,NA,NA,"23","3",NA,NA,NA,NA,NA,NA,NA,"76","20","4",NA,"3",NA,"19","4",NA,"152","650","1085",NA,NA,"1",NA,NA,NA,NA,"20",NA,NA,NA,"3",NA,"3398","1","1",NA,NA,"56","1",NA,"210",NA,NA,NA,"1",NA,"15",NA,"cw",NA,NA,"182","3",NA,NA,NA,NA,NA,NA,"39",NA,NA,"6",NA,"11",NA,NA,"10",NA,NA,NA,NA,"22",NA,"419",NA,"3","67","5","7","851","2",NA,NA,NA,"19","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,"2",NA,"67",NA,NA,"17",NA,"4",NA,"33",NA,NA,NA,NA,"33",NA,NA,NA,"1",NA,"1",NA,NA,"16","3",NA,"22",NA,"28",NA,NA,NA,NA,NA,NA,NA,"21",NA,"5",NA,NA,NA,"cw",NA,NA,NA
"54",1998,"1",NA,NA,"30","495","24","293","50",NA,"516",NA,"304","458",NA,NA,"23",NA,NA,NA,"22",NA,"267","190",NA,NA,NA,NA,"84",NA,NA,NA,NA,NA,NA,"45",NA,NA,"11","2","12",NA,"3",NA,NA,"1",NA,"16302","1","5","1","145",NA,NA,NA,NA,"135",NA,NA,"cw","6","6",NA,NA,NA,"1",NA,"249",NA,"18","157",NA,"15",NA,"5",NA,NA,"30",NA,NA,"1",NA,"4",NA,"cw","2654","94",NA,"4",NA,NA,"29","13","1","3","6",NA,NA,NA,NA,"18","12",NA,NA,"1",NA,NA,NA,NA,"73",NA,"1",NA,"2",NA,"5","6",NA,"486","509","1050",NA,NA,"3",NA,NA,NA,NA,"8","1",NA,NA,"2",NA,"1318","2","4",NA,NA,"15","3",NA,NA,NA,"164",NA,NA,NA,"25",NA,"cw",NA,NA,"503","2",NA,NA,NA,NA,"cw",NA,"202",NA,NA,"1",NA,"15",NA,NA,"7",NA,NA,NA,NA,"20",NA,"879",NA,NA,"12","131","3","489",NA,NA,NA,NA,"9",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,"10",NA,"101",NA,NA,NA,NA,"5",NA,"41",NA,NA,NA,NA,"24",NA,NA,NA,NA,NA,"1",NA,NA,"11","5",NA,"3",NA,"9",NA,NA,NA,NA,"2",NA,NA,"27",NA,"4",NA,NA,"1",NA,NA,NA,NA
"55",1999,NA,NA,"1","40","1663","21","238","68",NA,"1113",NA,"230","274",NA,NA,"33",NA,NA,NA,"43",NA,"342","277","1",NA,NA,NA,"174",NA,NA,NA,NA,NA,NA,"40",NA,NA,"14",NA,"10",NA,"2",NA,NA,"8",NA,"18553",NA,"2",NA,"30",NA,NA,NA,"1","508","2",NA,NA,"357","13",NA,NA,NA,"1",NA,"379",NA,NA,NA,NA,NA,NA,NA,NA,NA,"27",NA,NA,NA,NA,"4",NA,NA,"3733",NA,NA,"4",NA,NA,"10","6",NA,"9",NA,NA,NA,NA,NA,"21","10",NA,NA,"1",NA,NA,NA,NA,"47","11",NA,NA,"4",NA,"18","9",NA,"40","744","870",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"3","cw","5463","2","4",NA,"1","60","52",NA,NA,NA,"272",NA,NA,NA,"12",NA,"7","1",NA,"365","3",NA,NA,NA,NA,"2",NA,"28",NA,NA,"3",NA,"28",NA,NA,"47",NA,NA,NA,NA,"33","1","2134","18","6","274","13","11","978",NA,NA,NA,NA,"6","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"9",NA,NA,NA,NA,NA,"63",NA,NA,NA,NA,"5",NA,"47",NA,NA,NA,"1","16",NA,NA,NA,NA,NA,"2",NA,"6","14","8",NA,"11",NA,"54",NA,NA,NA,NA,NA,NA,NA,"11",NA,"4",NA,"1",NA,NA,"1",NA,NA
